,ts_code,name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,benchmark,status,invest_type,type,trustee,purc_startdate,redm_startdate,market
0,016204.OF,东方沪深300指数增强A,东方基金,中国工商银行,股票型,20221108,,,20221017,,0.7861,1.0,0.2,,1.0,0.0001,,沪深300指数收益率*95%+银行活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,,,O
1,015262.OF,易方达如意兴安一年持有C,易方达基金,兴业银行,混合型,20221108,,,20220805,,1.9966,0.6,0.15,,1.0,0.0001,,中债新综合指数(财富)收益率*80%+沪深300指数收益率*18%+中证港股通综合指数收益率*2%,L,混合型,契约型开放式,,,,O
2,015235.OF,国寿安保稳泽两年持有A,国寿安保基金,中国民生银行,混合型,20221108,,,20220805,,2.0919,1.0,0.15,,1.0,0.001,,中债综合(全价)指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率*5%,L,混合型,契约型开放式,,,,O
3,016205.OF,东方沪深300指数增强C,东方基金,中国工商银行,股票型,20221108,,,20221017,,1.7329,1.0,0.2,,1.0,0.0001,,沪深300指数收益率*95%+银行活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,,,O
4,016424.OF,广发集汇A,广发基金,中国银行,债券型,20221108,,,20221017,,8.4595,0.7,0.15,,1.0,0.0001,,中债总全价(总值)指数收益率*90%+沪深300指数收益率*5%+人民币计价的恒生指数收益率*5%,L,债券型,契约型开放式,,,,O
5,159627.OF,华夏中证100ETF,华夏基金,江苏银行,股票型,20221108,,,20220908,,5.0312,0.5,0.1,,1.0,0.1,,中证100指数收益率,L,被动指数型,契约型开放式,,,,O
6,015251.OF,华宝安悦一年持有C,华宝基金,兴业银行,混合型,20221108,,,20220805,,0.2764,0.55,0.1,,1.0,0.0001,,中证综合债指数收益率*75%+沪深300指数收益率*15%+中证可转换债券指数收益率*10%,L,混合型,契约型开放式,,,,O
7,016662.OF,平安元福A,平安基金,平安银行,债券型,20221108,,,20221024,,0.258,0.2,0.05,,1.0,0.0001,,中债综合财富(1年以下)指数收益率*90%+一年期定期存款基准利率(税后)*10%,L,债券型,契约型开放式,,,,O
8,016663.OF,平安元福C,平安基金,平安银行,债券型,20221108,,,20221024,,2.1339,0.2,0.05,,1.0,0.0001,,中债综合财富(1年以下)指数收益率*90%+一年期定期存款基准利率(税后)*10%,L,债券型,契约型开放式,,,,O
9,015261.OF,易方达如意兴安一年持有A,易方达基金,兴业银行,混合型,20221108,,,20220805,,0.8372,0.6,0.15,,1.0,0.0001,,中债新综合指数(财富)收益率*80%+沪深300指数收益率*18%+中证港股通综合指数收益率*2%,L,混合型,契约型开放式,,,,O
10,015250.OF,华宝安悦一年持有A,华宝基金,兴业银行,混合型,20221108,,,20220805,,1.7831,0.55,0.1,,1.0,0.0001,,中证综合债指数收益率*75%+沪深300指数收益率*15%+中证可转换债券指数收益率*10%,L,混合型,契约型开放式,,,,O
11,016803.OF,上投摩根双息平衡C,上投摩根基金,中国建设银行,混合型,20221108,,,,,,1.5,0.25,,1.0,,,中债总指数收益率*55%+中证红利指数收益率*45%,L,平衡型,契约型开放式,,20221108,20221109,O
12,016675.OF,永赢安泰中短债C,永赢基金,平安银行,债券型,20221108,,,20221024,,1.789,0.2,0.05,,1.0,0.0001,,中债-综合全价(1-3年)指数收益率*80%+一年期定期存款利率(税后)*20%,L,债券型,契约型开放式,,,,O
13,015605.OF,华安动力领航C,华安基金,中国银行,混合型,20221108,,,20220930,,1.8431,1.5,0.25,,1.0,0.0001,,中证800指数收益率*65%+中债综合全价指数收益率*20%+中证港股通综合指数收益率*15%,L,混合型,契约型开放式,,,,O
14,016988.OF,景顺长城大中华人民币C,景顺长城基金,中国工商银行,混合型,20221108,,,,,,1.8,0.35,,1.0,,,摩根斯坦利金龙净总收益指数(MSCI Golden Dragon Net Total Return Index),L,混合型,契约型开放式,,20221108,20221108,O
15,561710.OF,博时中证疫苗与生物技术ETF,博时基金,中信建投证券,股票型,20221108,,,20221017,,4.016,0.5,0.1,,1.0,0.1,,中证疫苗与生物技术指数收益率,L,被动指数型,契约型开放式,,,,O
16,015604.OF,华安动力领航A,华安基金,中国银行,混合型,20221108,,,20220930,,0.4055,1.5,0.25,,1.0,0.0001,,中证800指数收益率*65%+中债综合全价指数收益率*20%+中证港股通综合指数收益率*15%,L,混合型,契约型开放式,,,,O
17,015483.OF,汇安裕泰C,汇安基金,江苏银行,债券型,20221108,,,20220909,,0.0,0.3,0.1,,1.0,0.0001,,中债综合全价(总值)指数收益率,L,债券型,契约型开放式,,,,O
18,015852.OF,华泰柏瑞益安三个月定开,华泰柏瑞基金,浙商银行,债券型,20221108,,,20221102,,0.0013,0.3,0.1,,1.0,0.001,,中债综合全价指数收益率,L,债券型,契约型开放式,,,,O
19,015704.OF,易米开泰C,易米基金,中信证券,混合型,20221108,,,20220915,,0.999,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*60%+中债综合全价(总值)指数*25%+中证港股通综合指数(人民币)收益率*15%,L,混合型,契约型开放式,,,,O
20,015703.OF,易米开泰A,易米基金,中信证券,混合型,20221108,,,20220915,,1.1965,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*60%+中债综合全价(总值)指数*25%+中证港股通综合指数(人民币)收益率*15%,L,混合型,契约型开放式,,,,O
21,015482.OF,汇安裕泰A,汇安基金,江苏银行,债券型,20221108,,,20220909,,2.0001,0.3,0.1,,1.0,0.0001,,中债综合全价(总值)指数收益率,L,债券型,契约型开放式,,,,O
22,016758.OF,东吴同业存单指数7天持有,东吴基金,交通银行,债券型,20221108,,,20221024,,16.3048,0.2,0.05,,1.0,0.0001,,中证同业存单AAA指数收益率*95%+银行人民币一年定期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
23,016674.OF,永赢安泰中短债A,永赢基金,平安银行,债券型,20221108,,,20221024,,0.5208,0.2,0.05,,1.0,0.0001,,中债-综合全价(1-3年)指数收益率*80%+一年期定期存款利率(税后)*20%,L,债券型,契约型开放式,,,,O
24,016425.OF,广发集汇C,广发基金,中国银行,债券型,20221108,,,20221017,,4.5561,0.7,0.15,,1.0,0.0001,,中债总全价(总值)指数收益率*90%+沪深300指数收益率*5%+人民币计价的恒生指数收益率*5%,L,债券型,契约型开放式,,,,O
25,015236.OF,国寿安保稳泽两年持有C,国寿安保基金,中国民生银行,混合型,20221108,,,20220805,,0.0433,1.0,0.15,,1.0,0.001,,中债综合(全价)指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率*5%,L,混合型,契约型开放式,,,,O
26,017163.OF,蜂巢添益E,蜂巢基金,浙商银行,债券型,20221107,,,,,,0.3,0.1,,1.0,,,中债综合全价(总值)指数收益率*80%+1年期银行定期存款利率(税后)*20%,L,债券型,契约型开放式,,20221107,20221108,O
27,970205.OF,兴证资管金麒麟兴享增利六个月持有C,兴证资管,兴业银行,债券型,20221107,,,,,,0.3,0.1,,1.0,,,中债-综合全价(总值)指数收益率*90%+沪深300指数收益率*5%+银行活期存款利率(税后)*5%,L,债券型,契约型开放式,,,,O
28,015818.OF,财通资管睿盈A,财通证券资管,浙商银行,债券型,20221107,,,20221010,,1.6003,0.3,0.1,,1.0,0.0001,,中债综合(全价)指数收益率,L,债券型,契约型开放式,,,,O
29,970204.OF,兴证资管金麒麟兴享增利六个月持有A,兴证资管,兴业银行,债券型,20221107,,,20221107,,,0.3,0.1,,1.0,,,中债-综合全价(总值)指数收益率*90%+沪深300指数收益率*5%+银行活期存款利率(税后)*5%,L,债券型,契约型开放式,,,,O
30,016981.OF,银河核心优势C,银河基金,交通银行,混合型,20221107,,,,,,1.5,0.25,,1.0,,,中证800指数收益率*75%+中债综合全价指数收益率*25%,L,混合型,契约型开放式,,20221107,20221108,O
31,016982.OF,银河龙头C,银河基金,交通银行,股票型,20221107,,,,,,1.5,0.25,,1.0,,,沪深300指数收益率*55%+恒生指数收益率(使用估值汇率折算)*30%+中债综合全价指数收益率*15%,L,股票型,契约型开放式,,20221107,20221108,O
32,015819.OF,财通资管睿盈C,财通证券资管,浙商银行,债券型,20221107,,,20221010,,0.41,0.3,0.1,,1.0,0.0001,,中债综合(全价)指数收益率,L,债券型,契约型开放式,,,,O
33,016796.OF,长安鑫富领先C,长安基金,浦发银行,混合型,20221107,,,,,,1.2,0.2,,1.0,,,沪深300指数收益率*50%+中债综合指数收益率*50%,L,灵活配置型,契约型开放式,,20221107,20221108,O
34,017156.OF,易方达岁丰添利C,易方达基金,中国银行,债券型,20221107,,,,,,0.3,0.1,,1.0,,,中债新综合财富指数,L,债券型,契约型开放式,,20221107,20221107,O
35,016624.OF,银华卓信成长精选C,银华基金,中国工商银行,混合型,20221104,,,20221019,,1.0755,1.5,0.25,,1.0,0.001,,沪深300指数收益率*50%+中证港股通综合指数(人民币)收益率*30%+中债综合指数(全价)收益率*20%,L,混合型,契约型开放式,,,,O
36,015318.OF,南方浩誉稳健18个月持有A,南方基金,浦发银行,混合型,20221104,,,20220805,,1.8944,0.8,0.15,,1.0,0.0001,,中债综合指数收益率*75%+沪深300指数收益率*25%,L,混合型,契约型开放式,,,,O
37,015319.OF,南方浩誉稳健18个月持有C,南方基金,浦发银行,混合型,20221104,,,20220805,,0.2232,0.8,0.15,,1.0,0.0001,,中债综合指数收益率*75%+沪深300指数收益率*25%,L,混合型,契约型开放式,,,,O
38,014798.OF,富国融悦C,富国基金,宁波银行,混合型,20221104,,,20221017,,0.7548,1.5,0.25,,1.0,0.001,,沪深300指数收益率*60%+恒生指数收益率(使用汇率估值折算)*20%+中债综合全价指数收益率*20%,L,混合型,契约型开放式,,,,O
39,014797.OF,富国融悦A,富国基金,宁波银行,混合型,20221104,,,20221017,,1.6534,1.5,0.25,,1.0,0.001,,沪深300指数收益率*60%+恒生指数收益率(使用汇率估值折算)*20%+中债综合全价指数收益率*20%,L,混合型,契约型开放式,,,,O
40,016110.OF,南方振元C,南方基金,平安银行,债券型,20221104,,,20221019,,0.0127,0.5,0.1,,1.0,0.0001,,中债综合指数收益率*90%+沪深300指数收益率*7.5%+中证港股通综合指数(人民币)收益率*2.5%,L,债券型,契约型开放式,,,,O
41,016109.OF,南方振元A,南方基金,平安银行,债券型,20221104,,,20221019,,2.2624,0.5,0.1,,1.0,0.0001,,中债综合指数收益率*90%+沪深300指数收益率*7.5%+中证港股通综合指数(人民币)收益率*2.5%,L,债券型,契约型开放式,,,,O
42,016954.OF,万家和谐增长C,万家基金,兴业银行,混合型,20221104,,,,,,1.5,0.25,,1.0,,,沪深300指数*65%+中证全债指数*30%+同业存款利率*5%,L,混合型,契约型开放式,,20221104,20221105,O
43,017056.OF,嘉实国证绿色电力联接A,嘉实基金,华泰证券,股票型,20221104,,,20221031,,0.1178,0.5,0.1,,1.0,0.0001,,国证绿色电力指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20221111,20221111,O
44,017057.OF,嘉实国证绿色电力联接C,嘉实基金,华泰证券,股票型,20221104,,,20221031,,0.0085,0.5,0.1,,1.0,0.0001,,国证绿色电力指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20221111,20221111,O
45,016623.OF,银华卓信成长精选A,银华基金,中国工商银行,混合型,20221104,,,20221019,,1.7148,1.5,0.25,,1.0,0.001,,沪深300指数收益率*50%+中证港股通综合指数(人民币)收益率*30%+中债综合指数(全价)收益率*20%,L,混合型,契约型开放式,,,,O
46,016316.OF,同泰积极配置3个月持有A,同泰基金,平安银行,股票型,20221103,,,20220805,,0.2196,1.0,0.2,,1.0,0.001,,沪深300指数收益率*80%+恒生综合指数收益率*10%+中债综合全价(总值)指数收益率*10%,L,股票型,契约型开放式,,20221104,,O
47,016317.OF,同泰积极配置3个月持有C,同泰基金,平安银行,股票型,20221103,,,20220805,,1.8842,1.0,0.2,,1.0,0.001,,沪深300指数收益率*80%+恒生综合指数收益率*10%+中债综合全价(总值)指数收益率*10%,L,股票型,契约型开放式,,20221104,,O
48,016490.OF,华安慧萃组合精选3个月持有C,华安基金,中国农业银行,混合型,20221103,,,,,,1.2,0.2,,1.0,,,中证主动式股票型基金指数收益率*80%+七天通知存款利率(税后)*20%,L,混合型,契约型开放式,,20221103,20221104,O
