,ts_code,symbol,name,area,industry,market,list_date
0,000004.SZ,000004,ST国华,深圳,软件服务,主板,19910114
1,000005.SZ,000005,ST星源,深圳,环境保护,主板,19901210
2,000006.SZ,000006,深振业A,深圳,区域地产,主板,19920427
3,000007.SZ,000007,全新好,深圳,其他商业,主板,19920413
4,000010.SZ,000010,美丽生态,深圳,建筑工程,主板,19951027
5,000011.SZ,000011,深物业A,深圳,区域地产,主板,19920330
6,000014.SZ,000014,沙河股份,深圳,全国地产,主板,19920602
7,000017.SZ,000017,深中华A,深圳,服饰,主板,19920331
8,000020.SZ,000020,深华发A,深圳,元器件,主板,19920428
9,000023.SZ,000023,深天地A,深圳,水泥,主板,19930429
10,000025.SZ,000025,特力A,深圳,汽车服务,主板,19930621
11,000026.SZ,000026,飞亚达,深圳,服饰,主板,19930603
12,000029.SZ,000029,深深房A,深圳,区域地产,主板,19930915
13,000036.SZ,000036,华联控股,深圳,全国地产,主板,19940617
14,000037.SZ,000037,深南电A,深圳,火力发电,主板,19940701
15,000038.SZ,000038,*ST大通,深圳,综合类,主板,19940808
16,000040.SZ,000040,东旭蓝天,深圳,新型电力,主板,19940808
17,000042.SZ,000042,中洲控股,深圳,全国地产,主板,19940921
18,000045.SZ,000045,深纺织A,深圳,元器件,主板,19940815
19,000055.SZ,000055,方大集团,深圳,装修装饰,主板,19960415
20,000056.SZ,000056,皇庭国际,深圳,房产服务,主板,19960708
21,000058.SZ,000058,深赛格,深圳,商品城,主板,19961226
22,000065.SZ,000065,北方国际,北京,建筑工程,主板,19980605
23,000068.SZ,000068,华控赛格,深圳,环境保护,主板,19970611
24,000070.SZ,000070,特发信息,深圳,通信设备,主板,20000511
25,000096.SZ,000096,广聚能源,深圳,石油贸易,主板,20000724
26,000099.SZ,000099,中信海直,深圳,空运,主板,20000731
27,000150.SZ,000150,*ST宜康,广东,生物制药,主板,20000807
28,000151.SZ,000151,中成股份,北京,商贸代理,主板,20000906
29,000153.SZ,000153,丰原药业,安徽,化学制药,主板,20000920
30,000159.SZ,000159,国际实业,新疆,石油贸易,主板,20000926
31,000404.SZ,000404,长虹华意,江西,家用电器,主板,19960619
32,000407.SZ,000407,胜利股份,山东,供气供热,主板,19960703
33,000409.SZ,000409,云鼎科技,山东,软件服务,主板,19960627
34,000410.SZ,000410,*ST沈机,辽宁,机床制造,主板,19960718
35,000411.SZ,000411,英特集团,浙江,医药商业,主板,19960716
36,000413.SZ,000413,东旭光电,河北,元器件,主板,19960925
37,000416.SZ,000416,民生控股,山东,多元金融,主板,19960719
